Name,Dealer name,Mileage,Rating,Rating Count,Price in $
2019 Mercedes-Benz AMG C 43 Base 4MATIC,AutoNation Ford Tustin,"34,593 mi.",4.5,768 ,"51,992"
2018 Mercedes-Benz SL 550 Base,Mercedes-Benz Porsche of Melbourne,"20,494 mi.",4.7,175 ,"90,991"
2021 Mercedes-Benz GLE 350 Base 4MATIC,Bravo Chevrolet Cadillac,"13,901 mi.",4.6,170 ,"69,995"
2019 Mercedes-Benz GLC 300 Base,Freeman Mazda,"15,693 mi.",4.8,790 ,"42,400"
2018 Mercedes-Benz AMG G 63 Base,Fletcher Jones Motorcars,"22,401 mi.",4.8,"5,049 ","169,893"
2021 Mercedes-Benz GLC 300 Base,Mercedes-Benz of South Orlando,"5,510 mi.",4.7,"1,095 ","55,170"
2020 Mercedes-Benz AMG GLC 43 Base 4MATIC,Mercedes-Benz of Asheville,"13,472 mi.",4.1,76 ,"70,162"
2020 Mercedes-Benz Sprinter 2500 ,Merchants Automotive Group,"13,480 mi.",4.8,"2,419 ","52,830"
2017 Mercedes-Benz C-Class C 300 4MATIC,Auto Buying Service,"14,572 mi.",4.8,135 ,"25,444"
2019 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of Nanuet,"16,561 mi.",4.9,235 ,"85,672"
2017 Mercedes-Benz GLA 250 Base 4MATIC,Platinum Used Cars,"82,107 mi.",3.6,237 ,"25,790"
2015 Mercedes-Benz GLK-Class GLK 350,Sewell INFINITI of Houston,"63,390 mi.",4.7,97 ,"24,998"
2016 Mercedes-Benz S-Class S 550 4MATIC,Auto Buying Service,"54,850 mi.",4.8,135 ,"43,444"
2015 Mercedes-Benz S-Class S 550 4MATIC,Exclusive Motor Cars,"37,809 mi.",4.6,650 ,"49,290"
2015 Mercedes-Benz GLK-Class GLK 350,Mercedes-Benz of Houston Greenway,"42,210 mi.",4.7,"1,718 ","25,991"
2015 Mercedes-Benz S-Class S 550,AutoNation USA Katy,"71,111 mi.",4.3,159 ,"43,483"
2019 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of Westwood,"19,738 mi.",4.6,423 ,"87,657"
2005 Mercedes-Benz SL-Class SL500 Roadster,Tom Gray Auto Sales,"45,498 mi.",3.1,12 ,"14,495"
2009 Mercedes-Benz S-Class S 550 4MATIC,Ohio Car Mart,"66,173 mi.",5.0,2 ,"19,999"
2020 Mercedes-Benz GLE 350 Base,Audi McKinney,"24,689 mi.",4.2,5 ,"64,991"
2019 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of Manchester,"48,776 mi.",4.4,86 ,"75,989"
2014 Mercedes-Benz E-Class E 350 4MATIC,Supreme Motors,"73,466 mi.",4.4,29 ,"24,999"
2018 Mercedes-Benz GLE 350 Base,eCarOne,"29,346 mi.",4.8,"1,724 ","44,950"
2019 Mercedes-Benz S-Class S 560 4MATIC,Feldmann Imports,"27,798 mi.",4.8,619 ,"86,416"
2019 Mercedes-Benz AMG C 43 4MATIC,"Rolls-Royce Motor Cars New England, Bentley Boston, Lamborghini Boston, Herb Chambers Maserati and Alfa Romeo of Boston","19,946 mi.",4.6,97 ,"49,698"
2020 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz of West Houston,"12,942 mi.",3.9,25 ,"60,875"
2017 Mercedes-Benz AMG C 43 Base 4MATIC,Mercedes-Benz of Fredericksburg,"10,692 mi.",4.6,266 ,"46,995"
2014 Mercedes-Benz E-Class E 350 4MATIC,Jim Ellis Toyota of McDonough,"75,423 mi.",4.7,"3,460 ","20,992"
2020 Mercedes-Benz GLB 250 Base,BMW of Houston North,"16,265 mi.",4.6,942 ,"45,591"
2021 Mercedes-Benz GLC 300 Base,Mercedes-Benz of Atlanta Northeast,"15,868 mi.",4.8,"1,751 ","52,289"
2018 Mercedes-Benz AMG C 63 S,Lawrence Motorsport,"50,425 mi.",5.0,2 ,"59,991"
2014 Mercedes-Benz E-Class E 350,Unique Auto Center,"85,001 mi.",4.2,10 ,"18,995"
2014 Mercedes-Benz GLK-Class GLK 350,USA CAR  EXPO,"79,420 mi.",4.5,116 ,"22,850"
2011 Mercedes-Benz E-Class E 350 4MATIC,Mercedes-Benz of Delray,"86,561 mi.",4.4,"1,026 ","14,978"
2012 Mercedes-Benz E-Class E 350,Mercedes-Benz of Coconut Creek,"121,798 mi.",4.6,851 ,"16,995"
2020 Mercedes-Benz A-Class A 220,Mercedes-Benz of Pembroke Pines,"13,693 mi.",4.5,833 ,"36,995"
2013 Mercedes-Benz SL-Class SLK250,Bridgewater Acura,"24,281 mi.",4.7,"1,448 ","31,999"
2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,Motor Werks - Barrington Auto Mall,"31,814 mi.",4.8,"4,607 ","69,900"
2019 Mercedes-Benz S-Class S 560 4MATIC,Benzel-Busch Motor Car,"18,191 mi.",4.8,"4,320 ","82,862"
2015 Mercedes-Benz S-Class S 550 4MATIC,21 Century Auto Group,"58,394 mi.",4.4,"2,737 ","36,921"
2014 Mercedes-Benz G-Class G 550,21 Century Auto Group,"68,993 mi.",4.4,"2,737 ","65,821"
2017 Mercedes-Benz AMG C 43 Base 4MATIC,Kendall Ford of Marysville,"55,818 mi.",4.6,"1,067 ","42,971"
2015 Mercedes-Benz S-Class S 63 AMG,Auto Buying Service,"80,697 mi.",4.8,135 ,"54,444"
2018 Mercedes-Benz AMG E 63 S 4MATIC,Jumbo Luxury Cars,"44,339 mi.",4.1,56 ,"82,888"
