Name,Dealer name,Mileage,Rating,Rating Count,Price in $
2020 Mercedes-Benz G-Class G 550 4MATIC,Mercedes-Benz of Easton,"15,805 mi.",4.5,88 ,"181,000"
2019 Mercedes-Benz C-Class C 300 4MATIC,Motor Werks - Barrington Auto Mall,"35,934 mi.",4.8,"4,607 ","37,999"
2013 Mercedes-Benz C-Class C 300 4MATIC Sport,Magic Auto Sales,"82,192 mi.",3.2,141 ,"14,599"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Grubbs Acura,"36,195 mi.",4.8,51 ,"73,500"
2019 Mercedes-Benz GLC 350e Base 4MATIC,Mercedes-Benz of Stevens Creek,"19,020 mi.",4.7,"1,338 ","43,399"
2015 Mercedes-Benz S-Class S 550 4MATIC,CarXoom,"35,485 mi.",3.9,119 ,"67,495"
2020 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz of Austin,"30,181 mi.",4.8,"1,162 ","64,999"
2010 Mercedes-Benz G-Class G 550,Alpha Motorsports Fredericksburg,"61,665 mi.",4.6,"1,103 ","52,000"
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz of Ontario,"36,642 mi.",4.9,"1,912 ","64,688"
2019 Mercedes-Benz E-Class E 450,Honda Marysville,"17,419 mi.",4.7,818 ,"65,417"
2020 Mercedes-Benz GLB 250 Base,Mercedes-Benz of South Orlando,"10,956 mi.",4.7,"1,095 ","47,888"
2020 Mercedes-Benz GLC 300 Base 4MATIC,Sam Pack's Five Star Ford Carrollton,"17,219 mi.",4.8,"2,344 ","49,500"
2019 Mercedes-Benz AMG C 43 Base 4MATIC,Mercedes-Benz of Nanuet,"12,925 mi.",4.9,235 ,"57,053"
2019 Mercedes-Benz AMG G 63 Base,Mercedes Benz of Hoffman Estates,"17,108 mi.",4.7,"1,057 ","209,999"
2020 Mercedes-Benz C-Class C 300 4MATIC,Mercedes-Benz of Rochester,"16,918 mi.",3.2,2 ,"45,467"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,Midwest Car Connect,"16,265 mi.",4.9,55 ,"54,995"
2014 Mercedes-Benz M-Class ML 350 4MATIC,Adams Auto Group of Paterson,"80,641 mi.",4.1,18 ,"24,789"
2016 Mercedes-Benz GLE-Class GLE 350,Grubbs INFINITI,"50,681 mi.",4.7,"1,507 ","34,000"
2019 Mercedes-Benz C-Class C 300,Mercedes-Benz of Buckhead,"24,060 mi.",4.7,917 ,"42,000"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,Jaguar Land Rover of North Atlanta,"17,853 mi.",4.5,164 ,"72,900"
2019 Mercedes-Benz GLA 250 Base 4MATIC,Euro Motorcars Inc,"14,543 mi.",4.6,562 ,"36,881"
2012 Mercedes-Benz M-Class ML 350 4MATIC,Alliance Motor Group,"115,243 mi.",4.6,34 ,"17,997"
2016 Mercedes-Benz C-Class C 300,Sterling McCall Ford,"99,822 mi.",4.3,234 ,"25,581"
2021 Mercedes-Benz GLC 300 Base 4MATIC,Mercedes-Benz of Burlington,"10,285 mi.",4.7,250 ,"50,491"
2020 Mercedes-Benz G-Class G 550 4MATIC,Auto Group of Louisville,"10,802 mi.",5.0,5 ,"189,500"
2017 Mercedes-Benz SLC 300 Base,"Mercedes-Benz Manhattan, Inc.","19,953 mi.",4.6,433 ,"45,901"
2019 Mercedes-Benz S-Class S 560 4MATIC,Alfa Romeo of Strongsville,"35,579 mi.",4.5,671 ,"87,359"
2019 Mercedes-Benz AMG GT 63 S 4-Door,Mercedes-Benz of Easton,"24,598 mi.",4.5,88 ,"162,380"
2017 Mercedes-Benz GLS 450 Base 4MATIC,AutoNation Chrysler Dodge Jeep Ram Spring,"67,313 mi.",4.5,"1,113 ","42,491"
2020 Mercedes-Benz GLC 300 Base 4MATIC,Mercedes-Benz of White Plains,"17,943 mi.",4.9,"1,632 ","47,845"
2019 Mercedes-Benz S-Class S 450,Mercedes-Benz of Houston Greenway,"25,168 mi.",4.7,"1,718 ","70,991"
2019 Mercedes-Benz C-Class C 300 4MATIC,Mercedes-Benz of Easton,"12,669 mi.",4.5,88 ,"39,995"
2020 Mercedes-Benz GLE 350 Base 4MATIC,Jerry Ulm Dodge Chrysler RAM,"10,374 mi.",4.7,"4,328 ","62,711"
2015 Mercedes-Benz S-Class S 63 AMG,Auto Buying Service,"50,455 mi.",4.8,135 ,"74,995"
2017 Mercedes-Benz GLE 350 Base,Mercedes-Benz of Wesley Chapel,"39,127 mi.",4.5,415 ,"37,992"
2018 Mercedes-Benz S-Class S 450,STG Auto Group of Montclair,"45,543 mi.",4.7,"1,201 ","56,688"
2020 Mercedes-Benz GLE 350 Base 4MATIC,Porsche Milwaukee North,"17,995 mi.",4.4,60 ,"63,328"
2020 Mercedes-Benz GLB 250 Base,Mercedes-Benz of Fort Washington,"14,286 mi.",4.5,"2,095 ","39,850"
2019 Mercedes-Benz CLA 250 Base,James Wood AutoPark,"29,813 mi.",4.9,"1,288 ","35,950"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,Motor Werks - Barrington Auto Mall,"22,637 mi.",4.8,"4,607 ","72,990"
2017 Mercedes-Benz E-Class E 300,Fred Anderson Toyota of Asheville,"68,923 mi.",4.0,371 ,"35,651"
2010 Mercedes-Benz E-Class E 350 4MATIC,Motorcars of Denver,"85,224 mi.",4.6,76 ,"15,988"
2010 Mercedes-Benz E-Class E 350 4MATIC,Carizona,"96,526 mi.",3.7,74 ,"14,999"
2019 Mercedes-Benz GLC 350e Base 4MATIC,Mercedes-Benz of San Jose,"16,752 mi.",4.6,536 ,"44,998"
2019 Mercedes-Benz G-Class G 550 4MATIC,Trinity Cadillac,"16,249 mi.",4.8,191 ,"189,900"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Mercedes-Benz of South Orlando,"46,347 mi.",4.7,"1,095 ","76,882"
2015 Mercedes-Benz S-Class S 550 4MATIC,Morrie's West End Lincoln,"81,316 mi.",3.5,14 ,"41,999"
2020 Mercedes-Benz CLS 450 Base,Earth Motorcars,"11,120 mi.",4.7,587 ,"74,490"
2009 Mercedes-Benz S-Class S 550 4MATIC,Parkwood Automall,"143,561 mi.",3.6,94 ,"8,990"
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,Rick Case Hyundai Fort Lauderdale,"24,437 mi.",4.6,"2,397 ","52,189"
2015 Mercedes-Benz S-Class S 550 4MATIC,Onyx Motors LTD,"48,706 mi.",5.0,2 ,"48,995"
2018 Mercedes-Benz S-Class S 450,House of Imports,"31,999 mi.",4.7,986 ,"61,980"
2018 Mercedes-Benz AMG E 63 S 4MATIC,Scott Sanders Cars,"11,000 mi.",5.0,50 ,"122,000"
2018 Mercedes-Benz GLE 350 Base,AutoNation Chevrolet Coral Gables,"9,805 mi.",4.5,306 ,"45,997"
2018 Mercedes-Benz GLA 250 Base 4MATIC,"Mercedes-Benz Manhattan, Inc.","32,502 mi.",4.6,433 ,"32,902"
2013 Mercedes-Benz SL-Class SL 550,Mercedes-Benz of Pompano,"48,783 mi.",4.5,591 ,"48,880"
2020 Mercedes-Benz GLC 300 Base 4MATIC,Mercedes-Benz of Naperville,"5,309 mi.",4.6,492 ,"51,750"
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz of Pleasanton,"23,970 mi.",2.5,51 ,"66,786"
2018 Mercedes-Benz C-Class C 300,BMW of San Francisco,"32,601 mi.",4.5,192 ,"31,595"
2019 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of Greenwich,"42,493 mi.",4.1,78 ,"75,488"
2019 Mercedes-Benz S-Class S 560 4MATIC,Caribbean Auto Sales,"59,501 mi.",3.2,45 ,"58,995"
2015 Mercedes-Benz S-Class S 550 4MATIC,Ultimo Motors West,"50,278 mi.",4.7,525 ,"50,900"
2019 Mercedes-Benz AMG CLS 53 S-Model 4MATIC,Mercedes-Benz of Walnut Creek,"21,355 mi.",4.6,819 ,"78,888"
2018 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of Union,"17,937 mi.",4.9,861 ,"79,995"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Autohaus on Edens,"16,177 mi.",4.7,"1,579 ","76,359"
2013 Mercedes-Benz S-Class S 550 4MATIC,Mercedes-Benz of Pompano,"53,097 mi.",4.5,591 ,"32,889"
2020 Mercedes-Benz GLC 300 Base 4MATIC,Mercedes-Benz of Chicago,"15,496 mi.",4.7,"1,105 ","50,310"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Earth Motorcars,"56,192 mi.",4.7,587 ,"69,990"
2018 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz of Pompano,"64,773 mi.",4.5,591 ,"51,495"
2019 Mercedes-Benz C-Class C 300 4MATIC,Mercedes-Benz Of Bedford,"17,815 mi.",4.8,286 ,"36,995"
2020 Mercedes-Benz AMG E 53 Base 4MATIC,Import Masters,"22,910 mi.",4.2,481 ,"66,995"
2019 Mercedes-Benz GLC 300 Base 4MATIC,Mercedes Benz of Hoffman Estates,"18,128 mi.",4.7,"1,057 ","44,999"
2019 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of Westwood,"39,435 mi.",4.6,423 ,"79,029"
2019 Mercedes-Benz AMG GLC 63 S 4MATIC,Mercedes-Benz of Rockville Centre,"11,238 mi.",4.8,"1,275 ","79,954"
2018 Mercedes-Benz E-Class E 400,Advantage Acura of Naperville,"16,035 mi.",4.7,427 ,"47,037"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,Autos of Dallas,"48,606 mi.",4.3,"1,294 ","47,990"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Mercedes-Benz of Easton,"33,352 mi.",4.5,88 ,"69,783"
2021 Mercedes-Benz E-Class E 350,INFINITI of San Jose,"10,045 mi.",4.3,104 ,"59,571"
2018 Mercedes-Benz GLA 250 Base 4MATIC,East Coast Auto Group of Linden,"107,806 mi.",3.8,44 ,"25,745"
2017 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes Benz of Hoffman Estates,"58,389 mi.",4.7,"1,057 ","43,999"
2019 Mercedes-Benz C-Class C 300,Mercedes-Benz of South Charlotte,"40,205 mi.",4.8,"1,154 ","37,824"
2019 Mercedes-Benz C-Class C 300,Auto Web Expo,"33,303 mi.",4.6,677 ,"37,889"
2017 Mercedes-Benz E-Class E 300,Gmotorcars Ohare,"18,231 mi.",4.7,55 ,"39,500"
2015 Mercedes-Benz M-Class ML 350 4MATIC,AutoNation Chrysler Dodge Jeep Ram Bellevue,"45,929 mi.",4.5,549 ,"29,974"
2016 Mercedes-Benz GLC-Class GLC 300 4MATIC,Mercedes-Benz of Massapequa,"61,776 mi.",4.8,"1,610 ","31,495"
2018 Mercedes-Benz GLE 350 Base,Auto Barn LLC,"18,770 mi.",3.4,75 ,"45,999"
2020 Mercedes-Benz GLC 300 Base,Mercedes-Benz of Plano,"12,287 mi.",4.4,"1,041 ","50,000"
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,Stevinson Lexus of Frederick,"11,991 mi.",4.9,923 ,"56,600"
2016 Mercedes-Benz GLA-Class GLA 250 4MATIC,Mercedes-Benz of Pembroke Pines,"67,471 mi.",4.5,833 ,"25,995"
2019 Mercedes-Benz GLA 250 Base,Mercedes-Benz of Plano,"10,532 mi.",4.4,"1,041 ","37,500"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Mercedes-Benz of Fort Lauderdale,"11,480 mi.",4.6,869 ,"77,452"
2018 Mercedes-Benz E-Class E 400 4MATIC,Mercedes-Benz of Greenwich,"40,343 mi.",4.1,78 ,"52,995"
2019 Mercedes-Benz GLC 300 Base 4MATIC,Ricart Used Car Factory,"43,168 mi.",4.7,"5,312 ","40,263"
2018 Mercedes-Benz GLE 350 Base,AutoNation Chevrolet Doral,"60,327 mi.",4.6,421 ,"36,992"
2019 Mercedes-Benz S-Class S 560 4MATIC,Mercedes Benz of Goldens Bridge,"11,490 mi.",4.7,229 ,"87,900"
2018 Mercedes-Benz S-Class S 560,Vegas Auto Gallery,"34,397 mi.",2.0,8 ,"79,800"
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz of South Bay,"32,683 mi.",4.6,"1,020 ","62,871"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"JBA Motors, LLC","21,414 mi.",4.7,58 ,"64,999"
2018 Mercedes-Benz GLE 350 Base,Mercedes-Benz of Pembroke Pines,"49,001 mi.",4.5,833 ,"43,995"
2018 Mercedes-Benz GLE 350 Base,EchoPark Automotive Atlanta (Duluth),"41,171 mi.",4.9,140 ,"40,239"
2018 Mercedes-Benz C-Class C 300,Mercedes-Benz of Sarasota,"31,959 mi.",4.6,"1,140 ","35,630"
2019 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of Edison,"23,240 mi.",4.9,"2,305 ","89,577"
2014 Mercedes-Benz M-Class ML 350 4MATIC,Great Neck Car Buyers & Sellers Inc.,"78,884 mi.",4.8,275 ,"23,695"
2014 Mercedes-Benz E-Class E 350,HGreg Nissan Kendall,"56,890 mi.",4.4,115 ,"21,998"
2019 Mercedes-Benz GLS 450 Base 4MATIC,RBM of Atlanta,"61,443 mi.",4.9,"1,005 ","59,968"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,Imperial Highline,"18,392 mi.",4.1,9 ,"49,995"
2018 Mercedes-Benz GLE 350 4MATIC,Mercedes-Benz of Hanover,"47,527 mi.",4.6,366 ,"45,830"
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz of Orlando,"53,637 mi.",4.7,658 ,"59,495"
2019 Mercedes-Benz A-Class A 220,Mercedes-Benz of Covington,"8,582 mi.",4.8,514 ,"35,600"
2019 Mercedes-Benz GLS 450 Base 4MATIC,RBM of Atlanta,"49,567 mi.",4.9,"1,005 ","66,816"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Zeigler Chrysler Dodge Jeep Ram of Schaumburg,"20,396 mi.",4.4,746 ,"71,585"
2019 Mercedes-Benz G-Class G 550 4MATIC,Major Motor Cars,"15,002 mi.",4.1,16 ,"188,732"
2017 Mercedes-Benz AMG E 43 Base 4MATIC,Mercedes-Benz of Bellevue,"47,792 mi.",4.4,574 ,"50,998"
2017 Mercedes-Benz AMG C 43 Base 4MATIC,Texas Auto South,"59,976 mi.",4.5,734 ,"43,491"
2018 Mercedes-Benz GLA 250 Base,House of Imports,"31,651 mi.",4.7,986 ,"29,680"
2018 Mercedes-Benz GLA 250 Base 4MATIC,Autolounge of Edison,"22,208 mi.",4.1,664 ,"28,495"
2016 Mercedes-Benz G-Class G 550,21 Century Auto Group,"39,993 mi.",4.4,"2,737 ","77,925"
2020 Mercedes-Benz AMG G 63 Base,AUTO SELECT,"16,426 mi.",5.0,3 ,"254,985"
2018 Mercedes-Benz C-Class C 300 4MATIC,Lease Return Center,"30,367 mi.",3.5,248 ,"29,977"
2018 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz of San Francisco / Smart Center San Francisco,"38,682 mi.",4.0,59 ,"42,980"
2019 Mercedes-Benz GLA 250 Base 4MATIC,Euro Motorcars Inc,"15,847 mi.",4.6,562 ,"38,481"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Mercedes-Benz of Miami,"20,485 mi.",4.6,821 ,"75,992"
2018 Mercedes-Benz C-Class C 300,AutoNation Honda Chandler,"47,379 mi.",4.8,"3,462 ","36,480"
2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,Jim McKay Chevrolet,"61,269 mi.",4.1,272 ,"51,061"
2018 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz of Silver Spring,"37,673 mi.",4.8,"1,519 ","45,900"
2015 Mercedes-Benz M-Class ML 350,Freeman Buick GMC,"144,416 mi.",4.7,142 ,"19,333"
2019 Mercedes-Benz CLA 250 Base 4MATIC,ALM Marietta,"15,253 mi.",4.8,"2,974 ","35,407"
2014 Mercedes-Benz E-Class E 350 4MATIC,AutoLenders Lakewood,"75,158 mi.",4.9,344 ,"22,995"
2016 Mercedes-Benz E-Class E 350 4MATIC,Auto Buying Service,"65,520 mi.",4.8,135 ,"24,995"
2017 Mercedes-Benz AMG C 43 Base 4MATIC,AutoNation Honda Chandler,"33,866 mi.",4.8,"3,462 ","43,570"
2018 Mercedes-Benz E-Class E 400,AutoNation INFINITI Tustin,"20,301 mi.",4.7,530 ,"48,974"
2019 Mercedes-Benz AMG E 53 Base 4MATIC,BMW of Tampa,"18,926 mi.",4.7,603 ,"69,976"
2018 Mercedes-Benz GLS 450 Base 4MATIC,Dana Ford Lincoln,"37,043 mi.",4.7,"3,916 ","54,800"
2016 Mercedes-Benz GLC-Class GLC 300 4MATIC,Auto Holding 46,"95,291 mi.",4.2,220 ,"22,990"
2019 Mercedes-Benz E-Class E 300,Mercedes-Benz of Buckhead,"17,622 mi.",4.7,917 ,"56,000"
2020 Mercedes-Benz GLE 350 Base,Mercedes-Benz of Plano,"18,801 mi.",4.4,"1,041 ","65,000"
2015 Mercedes-Benz GLK-Class GLK 350 4MATIC,Mercedes-Benz of Stevens Creek,"63,154 mi.",4.7,"1,338 ","25,882"
2018 Mercedes-Benz GLE 350 Base,Gravity Autos Marietta,"59,890 mi.",4.0,42 ,"40,980"
2019 Mercedes-Benz GLA 250 Base,Mercedes-Benz of Plano,"18,577 mi.",4.4,"1,041 ","35,000"
2014 Mercedes-Benz E-Class E 350 4MATIC,The Car House,"50,919 mi.",3.5,64 ,"21,995"
2015 Mercedes-Benz M-Class ML 350,Baker Motor Company of Charleston,"97,332 mi.",3.9,199 ,"24,888"
2019 Mercedes-Benz AMG C 43 Base 4MATIC,Autos of Dallas,"11,659 mi.",4.3,"1,294 ","56,490"
2017 Mercedes-Benz AMG G 63 Base,Mercedes-Benz of Houston Greenway,"34,920 mi.",4.7,"1,718 ","131,591"
2018 Mercedes-Benz GLS 450 Base 4MATIC,Subaru of Midland Odessa,"17,671 mi.",3.9,33 ,"59,949"
2019 Mercedes-Benz CLS 450 Base,Mercedes-Benz of Pembroke Pines,"19,617 mi.",4.5,833 ,"68,595"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,Bob Rohrman's Gurnee Volkswagen,"46,000 mi.",4.2,832 ,"65,419"
2017 Mercedes-Benz AMG C 43 Base 4MATIC,26 Motors Elite,"49,337 mi.",3.6,218 ,"40,750"
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz of Orlando,"39,969 mi.",4.7,658 ,"67,991"
2015 Mercedes-Benz M-Class ML 350 4MATIC,Autopia Motorcars Inc,"67,781 mi.",2.0,12 ,"24,999"
2020 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz of Clearwater,"10,042 mi.",4.5,338 ,"64,572"
2018 Mercedes-Benz C-Class C 300 4MATIC,Mercedes-Benz of Stevens Creek,"24,790 mi.",4.7,"1,338 ","33,522"
2018 Mercedes-Benz GLC 300 Base 4MATIC,AutoMax Preowned Framingham,"19,009 mi.",4.5,"1,193 ","41,500"
2020 Mercedes-Benz GLE 350 4MATIC,Mercedes-Benz of Hanover,"16,289 mi.",4.6,366 ,"64,517"
2020 Mercedes-Benz SL 550 Base,Mercedes Benz of Hoffman Estates,"8,511 mi.",4.7,"1,057 ","114,999"
2019 Mercedes-Benz GLC 300 Base,Mercedes-Benz of Plano,"21,370 mi.",4.4,"1,041 ","42,000"
2018 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of Tysons Corner,"16,868 mi.",4.4,217 ,"83,995"
2018 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of White Plains,"24,726 mi.",4.9,"1,632 ","96,845"
2014 Mercedes-Benz E-Class E 350,Coggin Nissan on Atlantic,"35,890 mi.",4.5,661 ,"28,589"
2020 Mercedes-Benz AMG G 63 Base,Mercedes-Benz of Buckhead,"24,706 mi.",4.7,917 ,"280,000"
2018 Mercedes-Benz AMG E 63 S 4MATIC,Mercedes-Benz of Pembroke Pines,"19,351 mi.",4.5,833 ,"94,995"
2020 Mercedes-Benz AMG CLA 45 Base 4MATIC,Brooklyn Mitsubishi,"13,175 mi.",4.6,"1,241 ","63,874"
2019 Mercedes-Benz C-Class C 300,Mercedes-Benz of Calabasas,"37,878 mi.",4.6,879 ,"33,999"
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes Benz of Hoffman Estates,"14,319 mi.",4.7,"1,057 ","67,999"
2019 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz Of Bedford,"25,554 mi.",4.8,286 ,"100,000"
2016 Mercedes-Benz E-Class E 350 4MATIC,Automall Collection,"30,125 mi.",4.1,146 ,"29,900"
2020 Mercedes-Benz GLA 250 Base,AutoNation Chevrolet Doral,"12,311 mi.",4.6,421 ,"36,992"
2018 Mercedes-Benz C-Class C 300,Nissan of Mission Hills,"36,247 mi.",3.3,27 ,"34,121"
2014 Mercedes-Benz M-Class ML 350,Mercedes-Benz of Fort Lauderdale,"83,927 mi.",4.6,869 ,"21,992"
2020 Mercedes-Benz GLC 300 Base 4MATIC,Loehmann-Blasius Chevrolet,"16,806 mi.",4.6,692 ,"48,967"
2017 Mercedes-Benz C-Class C 300,Michael's Auto Sales,"47,984 mi.",4.7,704 ,"24,495"
